term,asin,title,category,subcategory,brand,list_price_amount,list_price_currency,image_url
1 1/2 inch binders 3 ring,B00006IEM6,"Avery Economy Showcase View 3 Ring Binder, 1-1/2 Inch Slant Rings, 1 White Binder (19651)",Office Product,Office Product,AVERY,8.59,USD,https://m.media-amazon.com/images/I/414h1m61FIL._SL75_.jpg
1 1/2 inch binders 3 ring,B00A45VHPS,"Cardinal Economy 3-Ring Binders, 1.5"", Round Rings, Holds 350 Sheets, ClearVue Presentation View, Non-Stick, White, Carton of 12 (90631)",Office Product,Office Product,Cardinal,42.99,USD,https://m.media-amazon.com/images/I/41cHDfz3+iL._SL75_.jpg
1 1/2 inch binders 3 ring,B07FMXC5YC,"Samsill Economy 1.5 Inch 3 Ring Binder, Made in the USA, Round Ring Binder, Customizable Clear View Cover, White, 4 Pack (MP48557)",Office Product,Office Product,Samsill,20.39,USD,https://m.media-amazon.com/images/I/51Jo6EMCv6L._SL75_.jpg
1/2 inch binder,B001B0GG1A,"Avery Durable View 3 Ring Binder, 1/2 Inch Slant Rings, 1 White Binder (17002)",Office Product,Office Product,AVERY,7.2,USD,https://m.media-amazon.com/images/I/41dzrdiA8wL._SL75_.jpg
1/2 inch binder,B07FKXHP1H,"Samsill Economy 0.5 Inch 3 Ring Binder, Made in The USA, Round Ring Binder, Customizable Clear View Cover, White, 4 Pack (MP48517)",Office Product,Office Product,Samsill,19.15,USD,https://m.media-amazon.com/images/I/51Yd2GVT3bL._SL75_.jpg
1/2 inch binder,B07Q5VPWCP,"BAZIC 3 Ring Binder 1/2"" Economy View Binders Organizer - Fuchsia, Round Ring, Hold 100 Sheets Paper, for School Office Home, 1-Count",Office Product,Office Product,BAZIC Products,19.79,USD,https://m.media-amazon.com/images/I/410aigvpgXL._SL75_.jpg
1/2 inch binder,B09Q4SJNWJ,"Avery Heavy-Duty Dual Color 3 Ring Binder, 1/2 Inch Slant Rings, Mint/Coral View Binder (17881)",Office Product,Office Product,AVERY,11.56,USD,https://m.media-amazon.com/images/I/41tbdtTBpAL._SL75_.jpg
1/2 inch binder,B0CHR88DJ2,"0.5'' 3-Ring-Binder with Pockets, 100 Sheets Capacity, 1/2 inch Binders fits 11"" x 8.5"" US Letter Size, Assorted 4 Pastel Colors - Ideal for School, Office, and Home Use (0.5 inch)",Office Product,Office Product,SUIN,21.99,USD,https://m.media-amazon.com/images/I/319VrCTAHSL._SL75_.jpg
1/2 inch binders 3 ring,B0006HV1LE,"Avery Economy View 3 Ring Binder, 0.5"" Round Rings, 1 White Binder (05706)",Office Product,Office Product,AVERY,5.41,USD,https://m.media-amazon.com/images/I/415wWFnG6tL._SL75_.jpg
1/2 inch binders 3 ring,B001B0GG1A,"Avery Durable View 3 Ring Binder, 1/2 Inch Slant Rings, 1 White Binder (17002)",Office Product,Office Product,AVERY,7.2,USD,https://m.media-amazon.com/images/I/41dzrdiA8wL._SL75_.jpg
1/2 inch binders 3 ring,B00A45VJRY,"Cardinal Economy 3-Ring Binders, 1/2"" Round Rings, Holds 125 Sheets, ClearVue Presentation View, Non-Stick, Black, Carton of 12 (90602)",Office Product,Office Product,Cardinal,29.99,USD,https://m.media-amazon.com/images/I/41nVxg5MgtL._SL75_.jpg
1/2 inch binders 3 ring,B00A45VK96,"Cardinal Economy 3-Ring Binders, 5/8"" Round Rings, Holds 125 Sheets, ClearVue Presentation View, Non-Stick, White, Carton of 12 (90601)",Office Product,Office Product,Cardinal,29.99,USD,https://m.media-amazon.com/images/I/41t9WyCqk5L._SL75_.jpg
